Respondent ID,State,Office,Topic,Question,Answer,Score
149000507,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149000805,Maryland,Office of Apprenticeship (OA),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149000805,Maryland,Office of Apprenticeship (OA),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149002995,Maryland,Chicago Regional Office (R5),Please let us know what you think:,The quality of content,Excellent,4
149002995,Maryland,Chicago Regional Office (R5),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149040545,Maryland,Philadelphia Regional Office (R2),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149051597,Maryland,Office of Unemployment Insurance (OUI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149250282,Virginia,Office of Job Corps (OJC),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149250531,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149250688,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Excellent,4
149250688,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149250688,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149250828,Virginia,Office of Job Corps (OJC),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149250893,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149250981,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149251043,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149251188,Virginia,Office of Unemployment Insurance (OUI),Please let us know what you think:,The quality of content,Excellent,4
149251188,Virginia,Office of Unemployment Insurance (OUI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149251188,Virginia,Office of Unemployment Insurance (OUI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149251188,Virginia,Office of Unemployment Insurance (OUI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149251319,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149251319,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149251652,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149251652,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149251959,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149252193,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149252343,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149252343,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149252370,Virginia,,Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149252408,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149252408,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149252519,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The quality of content,Excellent,4
149252519,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149252519,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149252519,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149252640,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149252640,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149252767,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149252796,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Excellent,4
149252796,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149252796,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149252796,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149252827,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Excellent,4
149252827,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149252827,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149252991,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Excellent,4
149252991,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149252991,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149252991,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149253026,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Excellent,4
149253026,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149253026,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149253026,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149253345,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149253345,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149253649,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149253649,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149253649,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149253779,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149254052,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Excellent,4
149254052,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149254052,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149254052,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149254072,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Excellent,4
149254072,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149254072,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149254072,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149254112,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Excellent,4
149254112,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149254112,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149296049,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The quality of content,Excellent,4
149296049,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149296049,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149296049,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
149296070,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The quality of content,Excellent,4
149296070,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Competence of the panelists on the subject matter,Excellent,4
149296070,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Moderator’s style and delivery,Excellent,4
149296070,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Excellent,4
148999418,Maryland,Office of Apprenticeship (OA),Please let us know what you think:,The quality of content,Fair,2
148999666,Maryland,Office of Apprenticeship (OA),Please let us know what you think:,Competence of the panelists on the subject matter,Fair,2
149003164,Maryland,,Please let us know what you think:,Moderator’s style and delivery,Fair,2
149040545,Maryland,Philadelphia Regional Office (R2),Please let us know what you think:,The quality of content,Fair,2
149250557,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Fair,2
149251043,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Fair,2
149251319,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Fair,2
149251959,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Moderator’s style and delivery,Fair,2
149252370,Virginia,,Please let us know what you think:,The quality of content,Fair,2
149252370,Virginia,,Please let us know what you think:,Competence of the panelists on the subject matter,Fair,2
149252370,Virginia,,Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Fair,2
149252767,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Fair,2
149253779,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Fair,2
148997249,Maryland,Boston Regional Office (R1),Please let us know what you think:,The quality of content,Good,3
148997249,Maryland,Boston Regional Office (R1),Please let us know what you think:,Moderator’s style and delivery,Good,3
148997249,Maryland,Boston Regional Office (R1),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
148999365,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
148999365,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
148999396,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The quality of content,Good,3
148999396,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Moderator’s style and delivery,Good,3
148999396,Maryland,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
148999418,Maryland,Office of Apprenticeship (OA),Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
148999418,Maryland,Office of Apprenticeship (OA),Please let us know what you think:,Moderator’s style and delivery,Good,3
148999418,Maryland,Office of Apprenticeship (OA),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
148999649,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149000057,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149000057,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149000086,Virginia,Office of Foreign Labor Certification (OFLC),Please let us know what you think:,The quality of content,Good,3
149000086,Virginia,Office of Foreign Labor Certification (OFLC),Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
149000086,Virginia,Office of Foreign Labor Certification (OFLC),Please let us know what you think:,Moderator’s style and delivery,Good,3
149000211,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,The quality of content,Good,3
149000211,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,Moderator’s style and delivery,Good,3
149000211,Maryland,Atlanta Regional Office (R3),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149000805,Maryland,Office of Apprenticeship (OA),Please let us know what you think:,The quality of content,Good,3
149000805,Maryland,Office of Apprenticeship (OA),Please let us know what you think:,Moderator’s style and delivery,Good,3
149002995,Maryland,Chicago Regional Office (R5),Please let us know what you think:,Moderator’s style and delivery,Good,3
149002995,Maryland,Chicago Regional Office (R5),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149003164,Maryland,,Please let us know what you think:,The quality of content,Good,3
149003164,Maryland,,Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
149040545,Maryland,Philadelphia Regional Office (R2),Please let us know what you think:,Moderator’s style and delivery,Good,3
149051597,Maryland,Office of Unemployment Insurance (OUI),Please let us know what you think:,The quality of content,Good,3
149051597,Maryland,Office of Unemployment Insurance (OUI),Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
149051597,Maryland,Office of Unemployment Insurance (OUI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149250282,Virginia,Office of Job Corps (OJC),Please let us know what you think:,The quality of content,Good,3
149250282,Virginia,Office of Job Corps (OJC),Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
149250282,Virginia,Office of Job Corps (OJC),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149250430,Virginia,Office of Financial Administration (OFA),Please let us know what you think:,The quality of content,Good,3
149250430,Virginia,Office of Financial Administration (OFA),Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
149250430,Virginia,Office of Financial Administration (OFA),Please let us know what you think:,Moderator’s style and delivery,Good,3
149250430,Virginia,Office of Financial Administration (OFA),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149250531,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The quality of content,Good,3
149250531,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,Moderator’s style and delivery,Good,3
149250531,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149250557,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
149250557,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149250557,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149250688,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149250828,Virginia,Office of Job Corps (OJC),Please let us know what you think:,The quality of content,Good,3
149250828,Virginia,Office of Job Corps (OJC),Please let us know what you think:,Moderator’s style and delivery,Good,3
149250893,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149250893,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149250893,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149250981,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149250981,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149250981,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149251043,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149251043,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149251319,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149251652,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149251652,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149251777,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149251777,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
149251777,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149251777,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149251959,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The quality of content,Good,3
149251959,Virginia,"Office of Policy, Development & Research (OPDR)",Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149252193,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149252193,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149252193,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149252343,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149252343,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149252408,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149252408,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149252640,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149252640,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149252767,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149252767,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149252827,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
149253345,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149253345,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149253649,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149253779,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Good,3
149253779,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Good,3
149253934,Virginia,Office of Apprenticeship (OA),Please let us know what you think:,The quality of content,Good,3
149253934,Virginia,Office of Apprenticeship (OA),Please let us know what you think:,Competence of the panelists on the subject matter,Good,3
149253934,Virginia,Office of Apprenticeship (OA),Please let us know what you think:,Moderator’s style and delivery,Good,3
149253934,Virginia,Office of Apprenticeship (OA),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149254112,Virginia,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Good,3
149001460,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,The quality of content,Poor,1
149001460,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,Competence of the panelists on the subject matter,Poor,1
149001460,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,Moderator’s style and delivery,Poor,1
149001460,Maryland,Office of Workforce Investment (OWI),Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Poor,1
149003164,Maryland,,Please let us know what you think:,The effort and preparation in creating an appropriate learning climate,Poor,1
